Time_sec,Freq_Hz,Swara
188.55,393.0,Da2
188.59,183.4,Sa
188.85,419.2,Ni2
188.87,366.8,Pa
188.89,183.4,Sa
188.92,393.0,Da2
188.96,419.2,Ni2
188.99,393.0,Da2
189.08,419.2,Ni2
189.13,393.0,Da2
189.15,209.6,Sa
189.22,262.0,Ri1
189.24,235.8,Sa
189.45,262.0,Ri1
189.5,235.8,Sa
191.01,314.4,Ma1
191.03,131.0,Sa
192.98,524.0,Sa_high
193.05,104.8,Sa
193.19,419.2,Ni2
193.26,524.0,Sa_high
193.28,104.8,Sa
193.63,262.0,Ri1
193.75,104.8,Sa
194.03,288.2,Ga2
194.14,131.0,Sa
195.95,471.6,Sa_high
195.98,131.0,Sa
196.0,471.6,Sa_high
196.07,131.0,Sa
196.84,393.0,Da2
196.91,78.6,Sa
196.93,393.0,Da2
196.95,104.8,Sa
197.02,393.0,Da2
197.04,366.8,Pa
197.14,393.0,Da2
197.3,183.4,Sa
197.39,602.6,Sa_high
197.69,183.4,Sa
197.79,262.0,Ri1
197.83,235.8,Sa
198.09,262.0,Ri1
198.11,235.8,Sa
198.37,393.0,Da2
198.39,157.2,Sa
198.65,393.0,Da2
198.67,157.2,Sa
198.72,340.6,Ma2
198.74,314.4,Ma1
198.81,157.2,Sa
198.9,340.6,Ma2
198.93,157.2,Sa
199.16,340.6,Ma2
199.18,157.2,Sa
199.41,314.4,Ma1
199.46,288.2,Ga2
199.48,131.0,Sa
199.69,314.4,Ma1
199.71,131.0,Sa
199.74,262.0,Ri1
199.76,131.0,Sa
199.83,288.2,Ga2
199.85,314.4,Ma1
199.99,131.0,Sa
200.16,393.0,Da2
200.18,104.8,Sa
200.27,314.4,Ma1
200.39,131.0,Sa
200.5,262.0,Ri1
200.55,104.8,Sa
201.29,262.0,Ri1
201.32,104.8,Sa
201.46,262.0,Ri1
201.48,104.8,Sa
201.57,628.79,Sa_high
201.6,419.2,Ni2
201.62,262.0,Ri1
201.67,628.79,Sa_high
201.83,419.2,Ni2
201.85,78.6,Sa
201.94,524.0,Sa_high
201.99,78.6,Sa
202.99,288.2,Ga2
203.08,131.0,Sa
203.22,314.4,Ma1
203.36,157.2,Sa
203.66,314.4,Ma1
203.87,157.2,Sa
204.22,314.4,Ma1
204.24,131.0,Sa
204.29,314.4,Ma1
204.38,131.0,Sa
204.5,314.4,Ma1
204.52,288.2,Ga2
204.59,131.0,Sa
204.66,288.2,Ga2
204.68,131.0,Sa
204.87,393.0,Da2
204.94,104.8,Sa
205.03,393.0,Da2
205.08,78.6,Sa
205.13,393.0,Da2
205.15,78.6,Sa
205.24,393.0,Da2
205.26,104.8,Sa
205.33,393.0,Da2
205.36,104.8,Sa
205.59,393.0,Da2
205.82,419.2,Ni2
205.84,445.4,Ni3
205.96,471.6,Sa_high
206.31,288.2,Ga2
206.45,628.79,Sa_high
206.61,104.8,Sa
206.66,314.4,Ma1
206.8,628.79,Sa_high
206.82,314.4,Ma1
206.91,288.2,Ga2
207.05,314.4,Ma1
207.08,393.0,Da2
207.12,104.8,Sa
207.21,602.6,Sa_high
207.59,288.2,Ga2
207.68,628.79,Sa_high
207.77,314.4,Ma1
207.93,288.2,Ga2
208.17,314.4,Ma1
208.19,340.6,Ma2
208.26,314.4,Ma1
208.28,393.0,Da2
208.31,314.4,Ma1
208.33,340.6,Ma2
208.4,314.4,Ma1
208.52,288.2,Ga2
208.61,314.4,Ma1
208.75,104.8,Sa
208.79,471.6,Sa_high
208.84,288.2,Ga2
208.86,314.4,Ma1
208.89,288.2,Ga2
209.12,524.0,Sa_high
209.14,262.0,Ri1
209.21,235.8,Sa
211.35,393.0,Da2
211.37,471.6,Sa_high
211.39,104.8,Sa
211.46,445.4,Ni3
211.49,419.2,Ni2
211.51,157.2,Sa
211.56,366.8,Pa
211.6,393.0,Da2
211.86,183.4,Sa
212.39,262.0,Ri1
212.44,235.8,Sa
212.51,262.0,Ri1
212.56,235.8,Sa
213.14,471.6,Sa_high
213.18,209.6,Sa
213.39,602.6,Sa_high
213.41,209.6,Sa
213.51,602.6,Sa_high
213.53,104.8,Sa
213.79,628.79,Sa_high
213.83,183.4,Sa
214.16,393.0,Da2
214.34,183.4,Sa
