Raga,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
Poornalalita,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Poorvi,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Poorvikavasanta,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Pratāpadhanyāsi,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Pratāparanjani,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
Puranirmai,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Rāmakali,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Rāmakriya,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Revagupti,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Rukhmāmbari,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Sāmantadeepara,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Sāranga Nāta,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Sāveri,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Salanganāta,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Satyāvati,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Sindhu Rāmakriya,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Surasindhu,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Tārakagowla,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Takka,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Ushāvali,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Vishārada,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Chakravākam,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Toyavegavāhini,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Āhir Bhairavi,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Bhakthapriya,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Bhujāngini,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
Bindhumālini,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
Chakranārāyani,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
Ghoshini,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Guhapriya,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Kalāvati,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Kokilā,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
Malayamārutam,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
Mukthāngi,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Mukundamālini,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Poornapanchamam,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Pravritti,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Rāgamanjari,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Rasikaranjani,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Rudra Panchami,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
Samya,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
